English title,Publication dates,English abstract,Inventors
"(US8859145), Method of preparing cathode containing iron disulfide for a lithium cell",2014-10-14,"A primary cell having an anode comprising lithium or lithium alloy and a cathode comprising iron disulfide (FeS2) or a mixture of iron disulfide (FeS2) and iron sulfide (FeS) and conductive carbon particles. A cathode slurry is prepared comprising the FeS2 or FeS2 plus FeS powder, conductive carbon, binder, and a solvent. The binder is preferably a styrene-ethylene/butylene-styrene (SEBS) block copolymer. There is an advantage discovered in utilizing a hydronaphthalene solvent to form the cathode slurry. The preferred solvent is 1,2,3,4-tetrahydronaphthalene or decahydronaphthalene and mixtures thereof. The slurry mixture is coated onto a conductive substrate and the solvent evaporated leaving a dry cathode coating on the substrate. Higher drying temperature may be used resulting in a dry cathode coating which resists cracking. The anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added.","Stevanovic Maya ([US]), Pozin Michael ([US]), Kouznetsova Yelena ([US]), Specht Steven J. ([US]), Berkowitz Fred J. ([US])"
"(US8076028), Lithium cell with cathode including iron disulfide and iron sulfide",2011-12-13,"A primary cell having an anode comprising lithium or lithium alloy and a cathode comprising iron disulfide (FeS2), iron sulfide (FeS) and carbon particles. The electrolyte comprises a lithium salt dissolved in a solvent mixture. A cathode slurry is prepared comprising iron disulfide (FeS2) powder, iron sulfide (FeS) powder, carbon, binder, and a liquid solvent. The mixture is coated onto a conductive substrate and solvent evaporated leaving a dry cathode coating on the substrate. The anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added.","Josephs Barry D. ([US]), Pozin Michael ([US]), Jiang Zhiping ([US]), Stevanovic Maya ([US]), Berkowitz Fred J. ([US]), Kouznetsova Yelena ([US]), Specht Steven J. ([US])"
"(US8273483), Lithium cell",2012-09-25,"A primary cell having an anode comprising lithium or lithium alloy and a cathode comprising iron disulfide (FeS2) and carbon particles. The electrolyte comprises a lithium salt preferably lithium iodide (LiI) dissolved in an organic solvent mixture. The solvent mixture preferably comprises dioxolane, dimethoxyethane and sulfolane. The electrolyte typically contains between about 100 and 2000 parts by weight water per million parts by weight (ppm) electrolyte therein. A cathode slurry is prepared comprising iron disulfide powder, carbon, binder, and a liquid solvent. The mixture is coated onto a conductive substrate and solvent evaporated leaving a dry cathode coating on the substrate. The anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added.","Pozin Michael ([US]), Sliger Michael ([US]), Issaev Nikolai N. ([US])"
"(US8465860), Lithium cell",2013-06-18,"A primary cell having an anode comprising lithium or lithium alloy and a cathode comprising iron disulfide (FeS2) and carbon particles. The electrolyte comprises a lithium salt dissolved in an organic solvent mixture. The electrolyte contains between about 100 and 2000 parts by weight water per million parts by weight (ppm) electrolyte therein. The electrolyte may contain between about 200 and 2000, or between about 500 and 2000 parts by weight water per million parts by weight electrolyte. A cathode slurry is prepared comprising iron disulfide powder, carbon, binder, and a liquid solvent. The mixture is coated onto a conductive substrate and solvent evaporated leaving a dry cathode coating on the substrate. The anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added.","Pozin Michael ([US]), Sliger Michael ([US])"
"(US8617743), Anode balanced lithium-iron disulfide primary cell",2013-12-31,A primary electrochemical cell having an anode comprising lithium and a cathode comprising iron disulfide (FeS2) and carbon particles. The cell is balanced so that the anode is in theoretical capacity excess (mAmp-hrs) compared to the theoretical capacity of the cathode. The anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added. The electrolyte comprises a lithium salt dissolved in organic solvent.,"Specht Steven J. ([US]), Pozin Michael ([US]), Kouznetsova Yelena ([US]), Patel Bhupendra K. ([US]), Berkowitz Fred J. ([US])"
"(US8460403), Method of storing iron disulfide (FeS2) particles",2013-06-11,"A primary cell having an anode comprising lithium and a cathode comprising iron disulfide (FeS2) and carbon particles. The electrolyte comprises a lithium salt dissolved in a solvent mixture. Iron disulfide powder and carbon black is preferably premixed and stored. A cathode slurry is prepared comprising iron disulfide, carbon black, binder, and a liquid solvent. The mixture is coated onto a substrate and solvent evaporated leaving a dry cathode coating on the substrate. The cathode coating is then baked at elevated temperatures in atmosphere under partial vacuum or in an atmosphere of nitrogen or inert gas. The anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added.","Pozin Michael ([US]), Chang Sean ([US])"
"(US7524581), Non-aqueous electrochemical cells",2009-04-28,"Electrochemical cells are disclosed. In some embodiments, an electrochemical cell includes a cathode having less than about 2,000 ppm of water, an anode, and an electrolyte having a first lithium salt and LiPF6.","Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US7981550), Lithium cell",2011-07-19,"A primary cell having an anode comprising lithium and a cathode comprising iron disulfide (FeS2) and carbon particles. The cell can be in the configuration of a coin cell or the anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added. The electrolyte comprises a lithium salt dissolved in a nonaqueous solvent mixture which may include an organic cyclic carbonate such as ethylene carbonate and propylene carbon. The cell after assembly is subjected to a two step preconditioning (predischarge) protocol involving at least two distinct discharge steps having at lease one cycle of pulsed current drain in each step and at least one rest period (step rest) between said two steps, wherein said step rest period is carried out for a period of time at above ambient temperature. The preconditioning improves cell performance.","Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US7566350), Method of making non-aqueous electrochemical cell",2009-07-28,"A lithium electrochemical cell includes an electrolyte having a mixture of solvents including propylene carbonate (PC) and dimethoxyethane (DME), and a salt mixture. The salt mixture includes lithium trifluoromethanesulfonate (LiTFS), and lithium trifluoromethanesulfonimide (LiTFSI), and the cell contains less than 1500 ppm by weight of sodium. The mixture of solvents can further include ethylene carbonate (EC).","Bowden William L. ([US]), Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US7648798), Battery with electrolyte containing aluminum salt",2010-01-19,"A battery having an anode including an alkali metal as the active material, a cathode having, for example, iron disulfide as the active material, and an electrolyte including an organic solvent and an aluminum salt selected from the group consisting of aluminum iodide and aluminum tri(sec-butoxide).","Jiang Zhiping ([US]), Bowden William L. ([US]), Pinnell Leslie J. ([US]), Pozin Michael ([US]), Issaev Nikolai N. ([US])"
"(US7595133), Lithium cell",2009-09-29,"A primary cell having an anode comprising lithium and a cathode comprising iron disulfide (FeS2) and carbon particles. The electrolyte comprises a lithium salt dissolved in a nonaqueous solvent mixture which contains an additive, preferably iodine, suppressing voltage delay. A cathode slurry is prepared comprising iron disulfide powder, carbon, binder, and liquid solvent. The mixture is coated onto a conductive substrate and solvent evaporated leaving a dry cathode coating on the substrate. The anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added.","Issaev Nikolai N. ([US]), Pozin Michael ([US]), Stevanovic Maya ([US])"
"(US7704621), Batteries and battery systems",2010-04-27,"A battery includes a cathode having an interior surface and an exterior surface, and defining a cavity and two open ends; a separator disposed adjacent to the interior surface of the cathode; an anode disposed adjacent to the separator and inside the cavity; an air-permeable, liquid-impermeable barrier layer disposed adjacent to the exterior surface of the cathode, and defining an exterior surface of the battery; two end members connected to the open ends of the cathode; and an anode current collector extending through the two end members. Methods designed such a battery is also disclosed.","Kelsey G. Steven ([US]), Kouznetsova Yelena ([US]), Makovetski Boris ([US]), Motupally Sathya ([US]), O'Neill Jonathan ([US]), Pappas David L. ([US]), Pavlinsky Robert ([US]), Podoprigora Oleg ([US]), Richards Thomas ([US]), Wandeloski William ([US])"
"(US7527895), Flexible cathodes",2009-05-05,"A cathode for a lithium battery is described. The cathode includes: (a) a current collector including aluminum foil; and (b) an active cathode material including: (i) manganese dioxide; (ii) conductive materials; and (iii) a binder selected from the group consisting of linear di- and tri-block polymers, linear tri-block polymers cross-linked with melamine resin, ethylene-propylene copolymers, ethylene-propylene-diene terpolymers, tri-block fluorinated thermoplastics, hydrogenated nitrile rubbers, fluoro-ethylene-vinyl ether copolymers, thermoplastic polyurethanes, thermoplastic olefins, and polyvinylidene fluoride homopolymers.","Boczer Christopher ([US]), Delnick Frank M. ([US]), Del Rosario Rosauro ([US]), Kang Minkoo ([US]), Pawlowska Lucyna M. ([US]), Pozin Michael ([US]), Rana Dharmendra ([US]), Stevanovic Maya ([US]), Weckesser John J. ([US])"
"(US8003258), Alkaline cell with improved anode",2011-08-23,"An alkaline cell having an anode mixture comprising zinc particles, aqueous alkaline electrolyte, and molecular sieve additive. The cathode preferably comprises manganese dioxide. The cell may be cylindrical or any other shape or size. The molecular sieve additive preferably comprises a crystalline aluminosilicate material which is in at least a partially dehydrated state before admixture with the aqueous electrolyte, preferably potassium hydroxide. The aluminosilicate crystalline structure has average pore size between about 3 and 25 Angstrom. The addition of the molecular sieves to the zinc anode improves the cell's discharge capacity and service life. The molecular sieves preferably comprises between about 0.07 and 0.7 percent by weight of the anode mixture.","Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US7625672), Zinc/air cell",2009-12-01,"A zinc/air depolarized cell wherein the anode comprises zinc particles, aqueous alkaline electrolyte, and pyrophosphate based (P2O7)4- additive. The cell may be in the form of a button cell. The addition of a pyrophosphate containing additive to the zinc anode improves the cell's service life regardless of whether the zinc is amalgamated with mercury or contains zero added mercury. The pyrophosphate based on (P2O7) content preferably comprises between about 0.001 and 2 percent by weight of the anode.","Pozin Michael ([US]), Issaev Nikolai N. ([US])"
"(US7858230), Battery cathodes",2010-12-28,"Batteries and related compositions and methods are disclosed. In some embodiments, a method of making a battery can include heating at least one cathode including a cathode material in an atmosphere including oxygen, heating the cathode in a vacuum, adding the cathode into a housing, adding a separator into the housing, and adding an anode into the housing.","Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US7479348), Non-aqueous electrochemical cells",2009-01-20,"Electrochemical cells are disclosed. In some embodiments, an electrochemical cell includes a cathode, an anode, and an electrolyte having a first lithium salt and LiBF4.","Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US7285356), Non-aqueous electrochemical cells",2007-10-23,"Electrochemical cells are disclosed. In some embodiments, an electrochemical cell includes a cathode having less than about 2,000 ppm of water, an anode, and an electrolyte having a first lithium salt and LiPF6.","Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US7459237), Non-aqueous lithium electrical cell",2008-12-02,An electrochemical cell includes a cathode containing MnO2 and an anode including lithium. The cell also includes an electrolyte containing a bis(oxalato)borate salt. The cell further includes an aluminum surface in electrical contact with a non-aluminum metal surface.,"Totir Dana Alexa ([US]), Nanjundaswamy Kirakodu S. ([US]), Pozin Michael ([US])"
"(US7544384), Methods of making coated battery components",2009-06-09,"A primary lithium battery can include a current collector that includes aluminum, a cap that includes aluminum, or both. The current collector can be coated with a cathode material The aluminum battery components can have high mechanical strength and low electrical resistance.","Issaev Nikolai N. ([US]), Pozin Michael ([US]), Stevanovic Maya ([US])"
"(US7459234), Battery including aluminum components",2008-12-02,"A primary lithium battery can include a current collector that includes aluminum, a positive lead that includes aluminum, or both. The aluminum battery components can have high mechanical strength and low electrical resistance.","Berkowitz Fred J. ([US]), Issaev Nikolai N. ([US]), Janik Jaroslav ([US]), Pozin Michael ([US])"
"(US7279250), Battery including aluminum components",2007-10-09,"A primary lithium battery can include a current collector that includes aluminum, a cap that includes aluminum, or both. The aluminum battery components can have high mechanical strength and low electrical resistance.","Berkowitz Fred J. ([US]), Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US7033698), Flexible cathodes",2006-04-25,"A cathode for a lithium battery is described. The cathode includes: (a) a current collector including aluminum foil; and (b) an active cathode material including: (i) manganese dioxide; (ii) conductive materials; and (iii) a binder selected from the group consisting of linear di- and tri-block polymers, linear tri-block polymers cross-linked with melamine resin, ethylene-propylene copolymers, ethylene-propylene-diene terpolymers, tri-block fluorinated thermoplastics, hydrogenated nitrile rubbers, fluoro-ethylene-vinyl ether copolymers, thermoplastic polyurethanes, thermoplastic olefins, and polyvinylidine fluoride homopolymers.","Boczer Christopher ([US]), Delnick Frank M. ([US]), Rosario Rosauro Del ([US]), Kang Minkoo ([US]), Pawlowska Lucyna M. ([US]), Pozin Michael ([US]), Rana Dharmendra ([US]), Stevanovic Maya ([US]), Weckesser John J. ([US])"
